n_estimators,max_depth,criterion,m,rmse,bias,rank
40,40,friedman_mse,126,39.57937145540692,-0.06833024361308916,1.0
40,45,absolute_error,121,40.42555541173195,-0.052300116363293944,1.0
40,50,absolute_error,120,40.08825881596787,-0.03231214984635143,1.0
40,50,absolute_error,128,39.08851619928429,-0.12170989180395217,1.0
40,50,friedman_mse,122,39.357904518699215,-0.04860003710661599,1.0
40,50,friedman_mse,124,41.02326653403207,-0.06416273543312137,1.0
45,40,friedman_mse,132,40.71352010000708,-0.1339205207695639,1.0
45,45,friedman_mse,125,40.564192501238075,-0.055830090606661276,1.0
45,45,friedman_mse,129,39.127694631255544,-0.11966508618690685,1.0
50,40,squared_error,123,42.22517996217649,-0.06726709711082385,1.0
50,40,squared_error,130,39.53497097639497,-0.11461385332242324,1.0
50,45,absolute_error,127,38.986131415702914,-0.11563977357639146,1.0
50,50,squared_error,131,40.699362314508946,-0.10939070339402805,1.0
